Geneid,Length,Mock_1,Mock_2,Mock_3,ZIKA_1,ZIKA_2,ZIKA_3
ENSG00000225011,349,0,0,0,0,0,0
ENSG00000284676,1953,0,0,0,0,0,1
ENSG00000090020,6195,585,860,1264,758.5,1321.25,1182
ENSG00000158006,3795,389,594,760,286.5,487,482
ENSG00000196581,12528,1,0,0,1,1,0
ENSG00000169403,4208,19,16,28.5,12,24,17
ENSG00000171612,3865,218.5,346,437,212,318,342.33
ENSG00000270927,493,0,0,0,0,0,0
ENSG00000188910,2362,27,22,35,15,27,33
ENSG00000230523,2148,0,1,0,0.25,0,0.5
ENSG00000233234,607,0,0,0,0,0,0
ENSG00000189337,13860,67,119,146,95.5,152.5,136
ENSG00000028137,3778,6,6,11.5,45.5,110,103
ENSG00000283259,1565,0,0,0,0,0,0
ENSG00000130939,9237,807.33,1220.25,1772.33,537.33,863.75,889.17
ENSG00000175147,11973,27,66.5,90.25,39,78,71
ENSG00000127472,3342,0,0,0,0,0,0
ENSG00000060656,6682,691,964,1548,673,1189,1019.5
ENSG00000230214,523,0,0,0,0,0,0
ENSG00000189280,1355,4,8,6,6,11,7
ENSG00000134698,7423,141,223,335,180,322.25,259
ENSG00000272420,568,9,25,29.5,13,22,13
ENSG00000273274,12831,4.5,18,15,5,14,3.5
ENSG00000236648,1328,0,0,0,0,0,0
ENSG00000232273,532,0,1.12,2,4.11,19.1,7
ENSG00000130940,11336,40.5,49.5,94.5,110.22,194.5,159.5
ENSG00000163879,4456,11.5,14,22,17,40.5,23.33
ENSG00000227527,661,7,3.5,10.5,4.5,16,20.5
ENSG00000116954,5116,275.5,389,557,246,454,480
ENSG00000163873,10497,4,2,5,5,3,3
ENSG00000117215,2681,0,0,2,1.5,0,2
ENSG00000230163,720,9,9.5,6,3,11,5
ENSG00000227538,1133,0,0,0,0,0,0
ENSG00000044012,604,33,40,46,25,42,31
ENSG00000179051,4079,2244.5,3345.83,4781.33,2157,3655.33,3338.17
ENSG00000215895,1960,2.33,5.67,7.67,4.5,8.33,4
ENSG00000126067,4528,2541.33,3759.33,4691,2401.83,4240.83,3585
ENSG00000274944,3251,94.33,124.33,176.83,74.5,128.17,120.29
ENSG00000272078,7923,11.5,18.5,31.75,34.22,53.75,57.5
ENSG00000230451,145,0,0,0,0,0,0
ENSG00000231606,1549,0,0,0,0,0,0
ENSG00000254553,3447,35.5,58.83,93.92,49.17,99.33,88.67
ENSG00000284653,2013,0,0,0,0,0,0
ENSG00000237749,253,0.25,1.83,6.45,0.5,3,2.64
ENSG00000276747,2396,0,0,0,0,1,3
ENSG00000228776,454,0,0,0,0,0,0
ENSG00000159339,2971,0,0,0,0,2,1
ENSG00000261781,2471,0,0,0,0,0,0
ENSG00000158315,2826,28.5,67.75,70.5,50.25,92.5,76
ENSG00000186973,843,1,1,8.5,2,3,2
ENSG00000146463,7905,866.33,1254.5,1944.25,899.5,1525.5,1474.5
ENSG00000142686,3049,498,690.75,972,426,764,679
ENSG00000224751,1312,1,0,0,0,0,0
ENSG00000117148,1844,41,50,91,29,58,44
ENSG00000230585,811,0,4,0,0,0.5,3
ENSG00000117000,6232,251,410.5,617.17,349,612,568
ENSG00000284989,4037,263.5,362.83,547.67,280.5,472.67,496.83
ENSG00000231630,429,0,0,0,6,13,15.5
ENSG00000092853,9591,1092.5,1472,2274.75,952.5,1743,1365
ENSG00000255811,560,2.5,2,1.5,1,3,2.5
ENSG00000134697,5747,1019,1507,2101,983,1872.5,1554
ENSG00000187513,1716,1,0,1,0,3,1
ENSG00000225671,595,0,0,0,0,0,0
ENSG00000116151,11337,139.5,218.33,289,159,279.75,241.75
ENSG00000006555,6111,0,0,0,0,0,1
ENSG00000236111,681,0.33,0.67,1.67,0,0,0
ENSG00000214114,2773,366.33,539.5,734.08,255.75,455.08,436.04
ENSG00000116544,4042,7,18,21,38,43,38
ENSG00000236723,1227,143.33,202,301.67,109.33,218.5,205.67
ENSG00000232467,601,0,0,0,0,1,0
ENSG00000117016,7259,72,86,183,63,73,82
ENSG00000163866,10337,687.83,960.5,1373,536,987,853
ENSG00000237130,370,0,0,0,0,0,0
ENSG00000232335,539,68.5,86.5,150.5,58.5,93,82
ENSG00000232762,752,2.5,2,9,1,4,10
ENSG00000162384,4504,512.83,876.5,1041.17,501.33,908,721.67
ENSG00000162391,2006,21.5,27.5,39.5,12.5,25,21
ENSG00000117859,10273,1497.66,2220.16,3124.66,1145.16,2088.83,1899
ENSG00000162396,2356,121,167,251,134,200,182
ENSG00000284686,2655,58,101,143.83,62,126,123
ENSG00000162378,8206,399.5,542,895,351.5,612,630
ENSG00000259818,3591,1.5,0,0,3,4,3
ENSG00000234318,447,0.5,0,4,1,1,2.5
ENSG00000227485,359,0,0,0,0,0,0
ENSG00000236646,270,0,0,0,0.5,0,0
ENSG00000243725,3488,332.5,466.5,622.5,262.5,488,465.5
ENSG00000171872,3160,11,14,20,13.5,17,10
ENSG00000162407,5272,416.5,626.5,978.83,471.5,827,796
ENSG00000163877,5718,198,321.5,446.5,310,557,538.83
ENSG00000228929,455,6.5,14,17,10,16,21.5
ENSG00000224570,1797,0,0,1,0,0,0
ENSG00000224980,433,0,0,0,0,0,1
ENSG00000278967,1819,0,0,1,1,0,0
ENSG00000157184,10089,374.33,539.5,707.17,296.33,568,527.67
ENSG00000198815,6896,686,1018.5,1547.5,721.5,1403.5,1353.5
ENSG00000134744,16199,542.5,880.5,1440,549,983.5,857.5
ENSG00000233910,721,0,0,0,0,0,0
ENSG00000287703,1426,0,0,0,0,0,0
ENSG00000283039,3159,0,0,0,1,1,3
ENSG00000229294,512,0,0,1,0,0,0
ENSG00000236973,1000,0,0,0,1,0,0
ENSG00000277397,718,0,0,0,0,0,0
ENSG00000162385,1363,724,1058,1345.83,765,1302.5,909
ENSG00000275350,585,0,0,0,0,0,0
ENSG00000123080,3018,997,1390.5,1949,1416.5,2443.67,2185
ENSG00000285778,3776,0,0,0,0,0,0
ENSG00000233407,250,0,0,0,0,0,0
ENSG00000162598,4422,0,0,0,0,0,0
ENSG00000280317,301,0,0,0,0,0,0
ENSG00000162415,6095,105,145.5,220.5,94.83,161,135.5
ENSG00000162600,3718,329,492.5,665.5,243,455.75,420
ENSG00000116704,6193,302,461,743,280,478,443
ENSG00000157193,19668,751,1051,1867,638.5,1066,1090.5
ENSG00000116205,12168,225.5,348.5,534,237.33,377,301.5
ENSG00000233994,608,4,9.5,13.5,7.5,9.5,6
ENSG00000227556,107,0,0,0,0,0,0
ENSG00000162607,3869,974,1401,2097,840,1477,1451
ENSG00000285954,886,0,0,0,0,0,0
ENSG00000233333,757,0,0,0,0,0,0
ENSG00000154027,6948,147,203,314.5,99,160,187
ENSG00000234108,331,0,0,0,0,0,0
ENSG00000232676,1124,0,0,0,0,0,0
ENSG00000213579,457,0,0,0,0,0.2,0.61
ENSG00000137960,3904,6.5,8,13,6.5,13.33,13.5
ENSG00000237852,423,0,4.67,0.67,0,0.67,0.33
ENSG00000132855,3371,0,0,2,0,1,0
ENSG00000270549,238,0,0,0,1,0,0
ENSG00000237163,303,0,0,0,0,0,0
ENSG00000229636,1491,0,0.11,0,0,0,0
ENSG00000116675,6958,188,305,431,226,391,401
ENSG00000162433,7578,257.83,372,541.5,184.33,389.17,276.17
ENSG00000213625,5237,1024,1495.17,2171.42,742.75,1384.67,1330.83
ENSG00000233664,321,0,1,0,0,0.5,0
ENSG00000158966,7022,52,69,128,64,125,127
ENSG00000213703,546,0,0,1,0,0,0
ENSG00000153898,3442,40,63,114,40,87,86
ENSG00000117069,6059,2,3,2,4,5,8
ENSG00000125703,3116,249.5,424,666,211,370,287.5
ENSG00000234144,226,1,0,0,0,0,0
ENSG00000277670,263,0,0,0,0,0,0
ENSG00000227466,456,4,2,0,0,2,2
ENSG00000230498,2086,0,1,2,2,2,1
ENSG00000162618,5798,0,0,0,0.5,2.5,3
ENSG00000224493,670,0,0,0,0,0,0
ENSG00000131233,2439,3,3.25,8.25,7.42,8.58,11.71
ENSG00000229225,157,0,0,0,0,0,0
ENSG00000225598,580,0,0,0,0,0,0
ENSG00000137941,10547,103.5,140,202,103,125,146.5
ENSG00000286548,6245,3,3.5,5,6,7,3.5
ENSG00000272094,879,0,0,1.5,0,1,0
ENSG00000228853,534,0,0,0,0,0,0
ENSG00000284895,81,0,0,0.5,0.5,0.5,0.5
ENSG00000117174,6203,581,856,1215,628,1130,954
ENSG00000184313,9088,0.5,0,0.5,2.5,2,1
ENSG00000288543,497,0,3,0,0,0,0
ENSG00000122420,5764,0,1,1,1,0,2
ENSG00000143013,5421,820,1206,1688,657,1361,1074
ENSG00000226084,555,80.84,164.99,224.03,104.87,187.28,124.58
ENSG00000134748,5617,781.5,1045.5,1608.5,780,1457,1259.17
ENSG00000142892,5514,912,1373,2024,658.5,1196,1086
ENSG00000229332,562,0,0,0,0,0,0
ENSG00000227937,382,0,0,0,0,0,0
ENSG00000229752,739,0,0.2,0,0,0,0
ENSG00000233216,322,0,0,0,0,0,0
ENSG00000197273,597,1,1,3,0,3,3
ENSG00000226804,1160,0,0,0,0,0,0
ENSG00000230728,623,0,0,0,0,0,0
ENSG00000232846,879,0,0,1,0,1,0
ENSG00000230787,1111,0,1,0,0,0,1
ENSG00000116641,24890,471,686,1087,375,667,665
ENSG00000172260,13208,1,4,6,7,3.5,4
ENSG00000285473,716,0,0,0,0,0,0
ENSG00000234578,470,2,0.5,3,2,2,1
ENSG00000229505,736,0,0,0,0,1,0
ENSG00000228187,571,0,0,0,0,0,0.5
ENSG00000182183,2684,1,3,3,2,0.5,1
ENSG00000236407,619,0,0,0,0,0,0
ENSG00000271949,654,80.83,109.83,198.33,59.75,113.5,115.5
ENSG00000227062,418,0,0,0,0,0,0
ENSG00000067334,7518,1268.33,1916.5,2667,1066.5,1991,1748.17
ENSG00000235011,355,0,0,0,0,0,0
ENSG00000213559,922,0,0,0,0,0,0
ENSG00000287587,1188,0,0,0,1,5,0
ENSG00000232882,621,4,5,15.5,3,10,6
ENSG00000171502,9568,3,8,11,5,11,8
ENSG00000116157,1692,2,0,1,2,0,5
ENSG00000143036,2869,107.5,184,219,67,133,170
ENSG00000065243,6897,731.5,1009,1610.5,689,1201,1171
ENSG00000226960,589,0,0,0,0,1,0
ENSG00000234080,877,0,0.4,0.33,0.57,0,0.1
ENSG00000285409,597,0,0,0,0,0,0
ENSG00000117528,7655,1276,1832.5,2855,814,1522.5,1540
ENSG00000271723,7090,320,452.5,602,250,477,446.5
ENSG00000036549,9008,555,726,1087,581,975,911
ENSG00000225191,1240,0,0.33,0,0,0,0
ENSG00000287870,1211,4,6,2,4,9,3
ENSG00000232048,859,0,0,1,0,0,0
ENSG00000232857,835,0,0,0,0,0,0
ENSG00000273637,2171,187.17,249.83,368,168.75,276.75,268.29
ENSG00000228838,675,14,25.5,57,13.5,25,33
ENSG00000283761,5765,377,622.33,920.67,599.83,1009,1052.83
ENSG00000189433,1444,4.5,1,1.5,1,5,3.5
ENSG00000142700,3168,10,10.5,11.5,5.5,37.5,23
ENSG00000233514,360,0,2,3.5,1,1,0.5
ENSG00000127124,14625,54,60,105,50,106,111
ENSG00000266993,1819,189.16,274.66,375.16,156.16,295.33,268
ENSG00000229316,653,0,0,0,0,1,1
ENSG00000234099,1058,0,0,1,1,0,0
ENSG00000137936,6919,590.83,787,1157,657.5,1225.5,1059
ENSG00000232752,643,0,1,0,0,0.5,0
ENSG00000235829,326,0,0,0,0,0,0
ENSG00000143032,2044,0,0,0,0,0,0
ENSG00000280040,672,1,2,1,0,1,1
ENSG00000117519,2783,1764,2464.5,3708.5,1484,2712,2611
ENSG00000238037,274,0,0,0,0,3,8
ENSG00000134215,7306,202,313,433,136.5,219,211
ENSG00000227935,708,0,0,0,0,0,0
ENSG00000228502,1389,698.21,1208.39,1640.54,683.85,1124.66,958.63
ENSG00000271277,379,0,0,0,0,0,0
ENSG00000236888,360,0,0,0,0,0,0
ENSG00000230828,346,0,0,0,0,0,0
ENSG00000152078,7385,811.67,1184.42,1773.67,598.33,986.25,933
ENSG00000171492,4852,1016.5,1536.5,2290,789.25,1381.33,1274
ENSG00000233129,766,0,0,3,0,0,0
ENSG00000170989,5223,20.5,15,33,11,29,27
ENSG00000237897,593,0,3,1,1,2.5,2
ENSG00000137962,18370,382,604,856,429,728,725.5
ENSG00000286692,486,0,0.5,2,0,0.5,2
ENSG00000260464,1766,5.83,11,9,5.5,8,5
ENSG00000231996,152,0,0,1,0,0,0
ENSG00000117154,3033,0,0,0,1,0,1
ENSG00000162377,4148,709,1052,1403,553,970,817
ENSG00000116774,2821,34,70,113,39,72,50
ENSG00000287756,1453,0,0,0,0,0,0
ENSG00000284652,1765,0,0,0,0,0,2
ENSG00000023909,5426,2844.17,4279.33,6467,2399.75,4231.5,3808.67
ENSG00000069702,8577,216,335,445,170,252,243
ENSG00000228399,343,3,2,3,1,3,7
ENSG00000236776,460,0,0,0,0,1,0
ENSG00000271252,287,0,0,0,0,0,0
ENSG00000235794,331,0,0,0,0,0.5,0
ENSG00000233983,399,0,0,0,0,0,0
ENSG00000116793,7170,416.5,589,944,402.5,682.5,627.5
ENSG00000232918,488,0,0,1,0,0,0
ENSG00000183298,880,16.49,47.68,57.67,22.1,47.23,34.55
ENSG00000117525,2886,103,90,210,135.5,211,231
ENSG00000162699,943,0,0,0,0,0,0
ENSG00000203914,1567,0,1.5,1,0,0,3
ENSG00000270457,338,0,1,0,0,2,0
ENSG00000231987,1994,0,0,0,0,0,0
ENSG00000229842,667,0,0,0,0,0,0
ENSG00000198162,9667,726,1074,1580,641,1073,940
ENSG00000171517,3536,4,11,10,7,8,8
ENSG00000203864,386,0,0,0,0,0,0
ENSG00000233482,352,0,0,0,0,0,0
ENSG00000143079,7371,275,409.25,664.5,379.5,683.5,661.5
ENSG00000232450,748,12,15.5,21,7,17.5,9
ENSG00000235038,620,0,0,0,0,0,0
ENSG00000173947,3949,5,5,4,5,6,1
ENSG00000134198,3413,26,44,60,15,23,40
ENSG00000279513,1492,0,0,0,1,4,2
ENSG00000117620,18235,269,399.83,676.33,244.83,472.83,396.83
ENSG00000162688,8157,371,640,937,542,1008,957
ENSG00000197106,6636,84.5,117.5,213.5,69.5,106.5,97.5
ENSG00000231072,1003,0,0,0,0,0,0
ENSG00000185946,6867,189.5,298.5,432.83,288.5,546.33,518.92
ENSG00000162627,2067,606,860,1203,518,1043,941
ENSG00000265808,9039,1119.25,1597.5,2347.58,916.08,1636.5,1542.08
ENSG00000225923,742,0,0,0,0,0,0
ENSG00000134247,6488,807,1261,1894,649.5,1090,1045.5
ENSG00000162664,10988,1192.67,1717,2491,1024,1861,1550
ENSG00000134253,4368,156,265,452,123,195,182
ENSG00000223416,348,2.12,10.65,8.91,3.38,6.32,3.99
ENSG00000179571,2119,0,0,0,0,0,0
ENSG00000227850,180,0,0,0,0,0,0
ENSG00000285532,1014,2,0,1,1,1.5,3
ENSG00000226755,508,0,0,0,0,0,0
ENSG00000183508,5654,13,23,35,67,119,120
ENSG00000277095,1807,0.5,0.62,0.92,0.38,0,0
ENSG00000264145,675,0,0,0,0,0,0
ENSG00000238256,143,0,0,1,0,0,0
ENSG00000198765,4278,0,0,0,0,0,0
ENSG00000143398,5405,1320,1870,2735,1705,3176.5,2685.5
ENSG00000196505,10487,224,361,523.5,248,413,378
ENSG00000223489,2629,0,0,0,0,0,0
ENSG00000230546,141,0,0,0,0,0,0
ENSG00000213262,828,0,0,0,0,0,0
ENSG00000287015,719,0,0,1,0,0,0
ENSG00000235526,508,1,3,7,2,3,3
ENSG00000228347,525,0.5,0.5,0,0,0,0.5
ENSG00000236012,281,0,0,1,0,0.5,0
ENSG00000134200,528,0,0,0,0,0,0
ENSG00000065183,10276,983,1511,2334,883.5,1414,1380
ENSG00000226126,1314,0,0,0,0,0,0
ENSG00000163156,3264,533.67,766.33,962,679,1256.83,912.7
ENSG00000228453,381,0,0,0,1,0,0
ENSG00000261168,1536,1.67,6,2,0.5,6.83,10.67
ENSG00000233432,1548,0,1.5,0,0,1,0
ENSG00000229911,680,0,0,0,0,0,0
ENSG00000171943,7335,426.49,558.37,797.06,459.31,855.86,788.52
ENSG00000270719,214,0,0,0,0,0,0
ENSG00000155761,9828,81,120,188.5,69,126,98.5
ENSG00000116830,10158,615,824,1344,601,1049,997
ENSG00000234422,340,0,0,0,0,0,0
ENSG00000227091,1660,5.5,5.5,12.5,4.5,6.5,4.5
ENSG00000081026,8414,414,589.5,976,367,601.5,595.5
ENSG00000143458,9189,269,363,549,272.5,528.67,467.33
ENSG00000230932,579,0,0,0,0,0,0
ENSG00000225036,828,0,0,0,0,0,0
ENSG00000250890,157,0,0,0,0,0,0
ENSG00000232240,243,0,0,0,0,0,0
ENSG00000234388,301,0,0,0,0,0,0
ENSG00000233717,171,0,1,2,0,4,1
ENSG00000163155,2508,217.5,286.5,423.33,180,318.5,328.5
ENSG00000241975,318,2.5,3,3.5,1.5,3.5,4.5
ENSG00000270976,213,0,0,0,0,0,0
ENSG00000228217,420,3.5,5,9.83,1.75,9.5,6.25
ENSG00000270342,403,0,0,0,0,0,0
ENSG00000116824,1635,0,0,0,0,0,0
ENSG00000235887,408,0,0,0,0,0,0
ENSG00000235756,1135,0,0,0,0,0,0
ENSG00000173810,489,0,0,0,0,0,0
ENSG00000271890,1029,0,0,0,0,0,0
ENSG00000283360,863,0.33,0,1,1,1,0.63
ENSG00000117262,5561,318.33,468,721,293.33,564.67,502.25
ENSG00000227970,1377,0,0,0,0,0,0
ENSG00000231613,509,0,1,0,0,0,2
ENSG00000236689,677,0,0,0,0,1,1
ENSG00000226028,534,0,0,0,0,0,0
ENSG00000203825,2594,0,0,0,0,0,0
ENSG00000184371,5238,920,1332,2100,2437,4286,3893
ENSG00000233449,673,0,0,0,0,0,0
ENSG00000242943,582,0,0,0.12,0,0,0
ENSG00000232499,1029,7.64,14.38,27.28,11.5,14.75,13.83
ENSG00000163154,1158,3.5,1.5,4,2.5,14.5,9
ENSG00000232995,3626,17,27.5,48.33,22.5,41.5,37.5
ENSG00000238087,1600,0,0,0,0,0,0
ENSG00000143158,2638,1317,2100,2718.5,1037.67,1930.5,1771.5
ENSG00000271092,1961,162.67,231.08,364,141.67,236.21,211.5
ENSG00000232148,1370,0,0,0,2,1,0
ENSG00000000460,5970,426.5,647.5,941.75,345,565.75,562.25
ENSG00000135862,8446,4243,6143.5,9945,3395,5883.5,5626
ENSG00000232952,1779,1,1,3.5,0.5,0.5,1
ENSG00000260322,1976,0,0,0,0,0,0
ENSG00000143156,5718,794,1170.5,1682.5,608,1253.5,1013
ENSG00000198771,8165,2.25,2,0,1,0,3
ENSG00000225462,1071,0,0,0,0,0,1
ENSG00000237756,469,2,4,0,2,1,0
ENSG00000271187,219,0,0,0,0,0,0
ENSG00000231175,2216,0,0,1,0,0,0
ENSG00000143185,562,0,0,0,0.5,1,0.5
ENSG00000272931,695,12,11,14.5,16.5,26,16.5
ENSG00000143190,16031,495,671.33,1045.5,578.5,983.83,807.83
ENSG00000225475,141,0.2,0.25,0,0.35,0,0.25
ENSG00000232223,918,0,0,0,0,0,0
ENSG00000224468,479,8,6.5,20.5,4,15.5,9
ENSG00000232551,1559,0,0,0,0,0,0
ENSG00000238270,414,0,0,0,0,0,0
ENSG00000236025,209,0,0,0,0,0,0
ENSG00000230704,677,0,0,0,0,0,0
ENSG00000143171,2691,0,0,0,2,1,1
ENSG00000275767,1861,0.33,0.29,0.25,0.38,0,0.67
ENSG00000047410,12350,3319.33,4928.83,7778.83,3085,5345,5048.67
ENSG00000171806,1575,161,208.5,292.25,110,261.25,206.25
ENSG00000134216,4643,0,0,0,0,1,0
ENSG00000230748,625,0,0,0,0,0,0
ENSG00000238108,433,0,0,0,0,0,0
ENSG00000135842,8330,60,64,113,187,350.2,305
ENSG00000287472,1230,0,0,0,0,0,0
ENSG00000241318,928,0,0,0,0,0,0
ENSG00000228238,1021,1,0,3,8,2,12
ENSG00000232393,886,0,0,0,0,0,0
ENSG00000184155,930,0,0,0,0,0,0
ENSG00000058085,6770,280.5,312,529.5,321,632,555.5
ENSG00000232917,291,0.33,0,0,0,0,1
ENSG00000233057,1376,1.73,3.4,2.93,1.6,1.23,1.69
ENSG00000143167,2946,0,0,0,0,2,0
ENSG00000143184,1227,1,0,1,0,1,0.5
ENSG00000224691,353,0,0,0,0,0,0
ENSG00000233626,386,6,6,8,1,10,5
ENSG00000143228,3362,761,1159,1555,474,915,794
ENSG00000231714,440,0,0,0,0,0,0
ENSG00000116833,7543,256,374,495,288,421,376
ENSG00000000457,6883,254.5,370,579,263,498,444.5
ENSG00000285638,2438,0,0,0,0,0,0
ENSG00000230987,3528,0,2,0,2,5,3
ENSG00000228167,442,0,0,0,0,0,0
ENSG00000150732,228,0,0,0,0,0,0
ENSG00000157064,6943,159,214,385,159.5,281.5,292
ENSG00000288139,195,0,0,0,0,0,0
ENSG00000059588,7819,868.5,1238.17,2059.33,679,1184.83,1114.33
ENSG00000162782,4090,9,14,13,7,10,12
ENSG00000238051,448,0,0,0,0,0,0
ENSG00000233196,677,0,0,1,9,11,9
ENSG00000229220,749,0,1,0,2,1,1
ENSG00000227747,790,0,1.2,0,0.1,3,1.1
ENSG00000228081,362,0,0,0,0,1,0
ENSG00000228020,937,0,0,0,0,0,0
ENSG00000234975,412,50.98,105.58,141.41,38.81,104.61,72.03
ENSG00000162851,1784,822,1167.25,1695.5,705,1294.5,1166
ENSG00000271427,575,1,1,8,16,24,26
ENSG00000143353,2941,327.5,506,687,290,580.67,488.75
ENSG00000197965,7069,3011.75,4574.5,6691.5,2414,4373,3935.5
ENSG00000143493,5326,673,1051.5,1432,635,1023,989.5
ENSG00000230777,171,1.33,3.5,2.67,1,3,4
ENSG00000179397,4431,11,18,9.5,15,37.5,24
ENSG00000224540,1224,0,0,0,0,0,0
ENSG00000186197,3996,127.75,182.5,257.5,87.25,162.75,161
ENSG00000229067,151,0,0,0,0,0,0
ENSG00000261182,2277,0,0,0,0,0,0
ENSG00000162670,4273,3,3,3,3,0.5,3
ENSG00000225712,426,0,0,0,0,0,0
ENSG00000162761,4185,0,0,0,0,0,1
ENSG00000143199,6141,6,9.5,19,35.67,58,66.5
ENSG00000007908,4586,0,0,0,1,3,1
ENSG00000092978,8841,237,352,604,392,670,618
ENSG00000188404,2731,3,6,13,16,37,11
ENSG00000274702,274,0,0,0,0,0,0
ENSG00000226211,357,0,0,0,0,0,0
ENSG00000203697,5174,10,22,35,16,26,29
ENSG00000116574,3965,439,657,936,353.5,562.5,493
ENSG00000143248,6624,16,19.5,37.33,19.5,44,40.5
ENSG00000162814,6515,45,60.5,87.5,43.5,57,50.5
ENSG00000225172,1882,0,0,0,0,2,0
ENSG00000261642,3125,0,0,0,0,0,0
ENSG00000228239,399,0,0,0,0,0,0
ENSG00000237283,2157,0,0,0,0,0,0
ENSG00000116132,8248,10,14,17,13,14,31
ENSG00000229242,800,0,0,0,0,0,0
ENSG00000234984,1493,0,0,0,0,0,0
ENSG00000229983,510,0,1.5,2,2,3,2
ENSG00000225122,664,0,0,0,0,0,0
ENSG00000225920,654,1,1,13,9,8.33,2
ENSG00000143476,4923,947.5,1333,2046.5,693,1178.5,1219.5
ENSG00000057252,7005,1406,2166,3339.5,1133,2145,1989
ENSG00000285718,1782,0,0,0,0,0,0
ENSG00000233018,226,1,0,0,2,1,1
ENSG00000224783,1819,0,0,0,0,0,0
ENSG00000162852,5933,357,509,811.5,452.5,841,813.5
ENSG00000268062,203,1,1,0,1,1,0
ENSG00000116962,5811,37,42,85,47,76,73
ENSG00000229757,787,0,0,0,0,0,0
ENSG00000220749,483,15.46,16.2,22.07,10.16,20.16,9.92
ENSG00000181450,8915,96,140,224,98,179,195
ENSG00000225300,1960,3,0,0.5,0,1.5,0
ENSG00000223842,1126,5,1,17,4,2,7
ENSG00000143355,10442,58,109,138,129,195,203
ENSG00000237193,202,0,0,0,0,0,0
ENSG00000223490,400,0,0,0,0,1,0
ENSG00000174502,5628,35.5,45,58.5,25,49,37
ENSG00000143195,13946,2,2,3,1.5,3.5,2
ENSG00000162849,14404,5,8,7,9,21,22
ENSG00000232824,408,0,0,0,0,1.25,0
ENSG00000067533,7877,848,1175,1744,746.5,1523,1248
ENSG00000228955,222,2,0,2,2.5,0,1
ENSG00000224702,692,0,0,0,1,0,0
ENSG00000271811,2045,0,0,0,0,1,0
ENSG00000224278,540,0,0,0,0,0,0
ENSG00000226486,1393,0,0,0,0,0,0
ENSG00000227687,230,0.5,0,0,0,0,0
ENSG00000231814,1584,0,0,0,0,0,0
ENSG00000277007,2614,14,23,31,26,21,25
ENSG00000229016,711,0,0,0,0,0,0
ENSG00000152104,18752,565.74,884.73,1207.84,798.63,1352.83,1289.31
ENSG00000117650,3095,896.17,1250,1750.75,592,1007,912.5
ENSG00000203724,628,71,144,143,74,142,141
ENSG00000225006,746,0,0,0,0,0,0
ENSG00000223375,216,0,0,0,0.5,0,0
ENSG00000230714,215,0,0,0,0,0,0
ENSG00000173726,3438,2872.83,4220,6180.5,2060,3696.5,3290.83
ENSG00000282852,177,0,0,0,0,0,0
